"CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Telephone Number","Provider SSA County Code","County/Parish","Urban","Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Chain Name","Chain ID","Number of Facilities in Chain","Chain Average Overall 5-star Rating","Chain Average Health Inspection Rating","Chain Average Staffing Rating","Chain Average QM Rating","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Nursing Case-Mix Index","Nursing Case-Mix Index Ratio","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2/3 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2/3 Number of Complaint Health Deficiencies","Rating Cycle 2/3 Health Deficiency Score","Rating Cycle 2/3 Number of Health Revisits","Rating Cycle 2/3 Health Revisit Score","Rating Cycle 2/3 Total Health Score","Total Weighted Health Survey Score","Number of Facility Reported Incidents","Number of Substantiated Complaints","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties","Location","Latitude","Longitude","Geocoding Footnote","Processing Date"
"195136","PROGRESSIVE CARE CENTER","2550 Kings Hwy","SHREVEPORT","LA","71103","3182128200","080","Caddo","Y",Non profit - Corporation,48,40.1,,Medicare and Medicaid,"N","VIRGINIA HALL NURSING HOME",1978-04-01,,,,,,,,N,,N,N,N,Resident,Data Not Available,3,,4,,1,,1,,2,,4,,,,3.93143,2.29452,0.45415,2.74867,6.68010,5.63909,0.34778,0.15549,31.1,,,27,0,,1.23882,0.90016,2.11337,0.78362,0.61509,3.51208,3.08258,4.33798,2.53179,0.50111,7.37088,6.22223,2025-02-26,4,4,0,32,1,0,32,2024-02-07,5,2,3,32,1,0,32,32.000,3,3,,0,0.00,0,0,"2550 Kings Hwy,SHREVEPORT,LA,71103",32.4815,-93.778,,2025-10-01
"195150","VILLA FELICIANA CHRONIC DISEASE","5002 HIGHWAY 10","JACKSON","LA","70748","2256344000","180","East Feliciana","Y",Government - State,299,150.6,,Medicare and Medicaid,"N","VILLA FELICIANA MEDICAL COMPLEX",1978-01-01,,,,,,,,N,,Y,N,N,Resident,Yes,1,,2,,2,,2,,,2,1,25,25,6,,,,,,,,,,26,,26,0,,,,,,,,,,,,,,2024-11-07,13,5,10,76,1,0,76,2023-11-15,19,7,14,132,2,66,198,106.500,59,25,,2,313544.00,2,4,"5002 HIGHWAY 10,JACKSON,LA,70748",30.8356,-91.137,,2025-10-01
"195156","Willow Wood at Woldenberg Village","3701 BEHRMAN PLACE","NEW ORLEANS","LA","70114","5043675640","350","Orleans","Y",Non profit - Other,120,111.4,,Medicare and Medicaid,"N","WOLDENBERG VILLAGE INC",1991-01-28,,,,,,,,Y,,N,N,N,Resident,Yes,3,,3,,2,,1,,3,,4,,,,2.95926,1.64452,0.24403,1.88856,4.84781,4.17986,0.14513,0.09029,35.8,,20.0,,0,,1.21642,0.88389,2.07516,0.76945,0.60397,3.44858,3.02685,3.32540,1.84799,0.27423,5.44762,4.69702,2025-07-02,10,7,3,44,1,0,44,2024-07-10,7,2,5,60,1,0,60,48.000,4,19,,1,40248.00,0,1,"3701 BEHRMAN PLACE,NEW ORLEANS,LA,70114",29.916,-90.018,,2025-10-01
"195177","Lakeshore Manor Nursing & Rehab	","1400 Lindberg Drive","Slidell","LA","70458","9856414985","510","St. Tammany","Y",For profit - Limited Liability company,110,67.8,,Medicare and Medicaid,"N","LAKESHORE MANOR NURSING AND REHAB LLC",1985-01-15,VOLARE HEALTH,628,16,1.6,1.5,2.7,3.2,N,SFF,Y,N,N,Resident,Yes,,18,,18,,18,,18,,18,,18,,,2.41552,1.45096,0.48462,1.93558,4.35110,3.69907,0.23757,0.03973,45.7,,85.7,,1,,1.26285,0.91763,2.15437,0.79882,0.62703,3.58021,3.14239,2.61459,1.57053,0.52456,4.70968,4.00391,2025-01-12,12,7,5,319,1,0,319,2024-07-09,37,9,34,679,2,340,1019,494.000,11,77,,4,577803.00,2,6,"1400 Lindberg Drive,Slidell,LA,70458",30.2806,-89.752,,2025-10-01
"195184","CHATEAU LIVING CENTER","716 VILLAGE ROAD","KENNER","LA","70065","5044640604","250","Jefferson","Y",For profit - Limited Liability company,215,184.7,,Medicare and Medicaid,"N","CHATEAU LIVING CENTER OF KENNER, LLC",1985-01-28,PLANTATION MANAGEMENT COMPANY,406,16,1.6,2.2,1.3,1.8,N,,N,N,N,Resident,Yes,1,,1,,1,,1,,1,,1,,,,1.65463,1.32389,0.09532,1.41921,3.07384,2.63867,0.12785,0.00000,48.6,,,27,1,,1.31242,0.95364,2.23892,0.83017,0.65164,3.72073,3.26572,1.72335,1.37888,0.09927,3.20151,2.74827,2025-07-23,25,12,13,257,1,0,257,2024-07-24,16,6,10,72,1,0,72,210.750,0,56,0,2,159972.00,0,2,"716 VILLAGE ROAD,KENNER,LA,70065",30.0235,-90.258,,2025-10-01
"195185","TERREBONNE GENERAL MED CTR SNF","8166 MAIN STREET","HOUMA","LA","70360","9858734141","540","Terrebonne","Y",Non profit - Other,6,1.9,,Medicare,"Y","TERREBONNE PARISH HOSPITAL SERVICE DISTRICT #1",1985-07-11,,,,,,,,N,,N,N,N,None,Yes,5,,5,,2,,,2,2,,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-02-05,3,3,0,12,1,0,12,2024-02-15,5,5,0,24,1,0,24,15.000,0,0,,0,0.00,0,0,"8166 MAIN STREET,HOUMA,LA,70360",29.5985,-90.717,,2025-10-01
"195199","EAST JEFFERSON GENERAL HOSPITAL - SNF","4200 HOUMA BLVD","METAIRIE","LA","70002","5045034699","250","Jefferson","Y",Non profit - Corporation,49,23.8,,Medicare,"Y","UNIVERSITY HEALTHCARE SYSTEM, L.C.",1986-06-03,,,,,,,,N,,N,N,N,None,Yes,5,,5,,4,,,2,4,,5,,,,2.06597,1.41520,3.97937,5.39457,7.46054,5.95271,2.46135,0.40053,30.2,,25.9,,,26,1.43483,1.04259,2.44774,0.90760,0.71242,4.06776,3.57031,1.96820,1.34823,3.79105,7.10748,5.67101,2025-02-13,2,2,0,8,1,0,8,2024-02-29,1,1,0,4,1,0,4,7.000,0,0,,0,0.00,0,0,"4200 HOUMA BLVD,METAIRIE,LA,70002",30.0144,-90.182,,2025-10-01
"195201","THE OAKS OF HOUMA","1701 POLK STREET","HOUMA","LA","70360","9858765692","540","Terrebonne","Y",For profit - Limited Liability company,120,112.3,,Medicare and Medicaid,"N","OAKS OF HOUMA COMMUNITY CARE CENTER LLC",1986-07-17,THE BEEBE FAMILY,779,48,2.7,3.1,3.1,1.8,N,,N,N,N,Resident,Yes,3,,4,,1,,1,,1,,3,,,,2.33042,0.92619,0.27184,1.19803,3.52845,3.00109,0.10523,0.04671,35.4,,28.6,,1,,1.22696,0.89155,2.09313,0.77612,0.60921,3.47846,3.05307,2.59627,1.03184,0.30285,3.93096,3.34343,2025-03-12,5,5,0,24,1,0,24,2024-03-07,7,6,1,32,1,0,32,26.000,0,3,,0,0.00,0,0,"1701 POLK STREET,HOUMA,LA,70360",29.5857,-90.736,,2025-10-01
"195203","WALDON HEALTH CARE CENTER","2401 IDAHO STREET","KENNER","LA","70062","5044660222","250","Jefferson","Y",For profit - Individual,205,88.4,,Medicare and Medicaid,"N","WALDON OPERATIONS LLC",1986-08-16,INSPIRED HEALTHCARE MANAGEMENT,286,6,1.5,2.0,2.8,1.2,N,,N,N,N,None,Yes,1,,1,,1,,1,,1,,2,,,,2.02823,1.12060,0.25957,1.38017,3.40840,2.97223,0.27483,0.05537,52.5,,,27,0,,1.26627,0.92011,2.16019,0.80098,0.62872,3.58989,3.15088,2.18946,1.20968,0.28020,3.67934,3.20850,2025-01-16,13,9,4,68,1,0,68,2024-02-01,22,5,17,477,1,0,477,170.250,0,23,,2,120279.00,1,3,"2401 IDAHO STREET,KENNER,LA,70062",29.9995,-90.239,,2025-10-01
"195204","JO ELLEN SMITH CONVALESCENT CENTER","4502 GENERAL MEYER AVENUE","NEW ORLEANS","LA","70131","5043617923","350","Orleans","Y",For profit - Corporation,108,128.9,,Medicare and Medicaid,"N","PRIORITY GROUP HOLDINGS, L.L.C.",1986-08-19,PRIORITY MANAGEMENT,425,37,2.5,2.9,1.4,3.2,N,,N,N,N,Resident,Yes,3,,4,,3,,4,,1,,1,,,,2.01278,1.34875,0.16159,1.51034,3.52313,2.91037,0.14091,0.10000,43.0,,,27,0,,1.42188,1.03318,2.42567,0.89941,0.70599,4.03107,3.53811,1.93499,1.29662,0.15535,3.38695,2.79788,2025-03-19,4,3,1,24,1,0,24,2024-03-07,7,1,6,40,1,0,40,28.000,0,30,0,1,5055.00,0,1,"4502 GENERAL MEYER AVENUE,NEW ORLEANS,LA,70131",29.9341,-90.008,,2025-10-01
