License/Exemption Number,Facility/Camp Name,Facility/Camp License Type,Facility Address,City,County,Phone,Zip Code,Capacity
AS410068899,10 Mile Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"179 West Division ",Rockford,KENT,(616) 866-4981,49341,6
AS410281933,22 - Mile Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2200 22 - Mile Road ",Sand Lake,KENT,(616) 636-8920,49343,6
AS820414623,28230 Somerset Residence LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"28230 Somerset ",Inkster,WAYNE,(313) 598-0628,48141,5
AS820418669,3D Hearts Residential Care Homes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4423 Isabelle St ",INKSTER,WAYNE,(586) 224-7422,48141,6
AS500412362,4 Brothers Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3012 Reese Drive ",Sterling Heights,MACOMB,(586) 994-0814,48310,5
AS130418308,441 Bedford Rd N LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"441 Bedford Rd N ",Battle Creek,CALHOUN,(269) 317-6826,49037,3
AS500388052,4Gems Adult Foster Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8138 Hedgeway Dr ",Shelby Township,MACOMB,(586) 819-7573,48317,6
AS800397501,52nd Street Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"31723 52nd Street ",Bangor,VAN BUREN,(269) 762-2969,49013,6
AS410277898,56th St. Group Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"751- 56th Street, SE ",Kentwood,KENT,(616) 455-1633,49548-5807,6
AS410413667,60th Ave AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1880 60th Ave, ",Kentwood,KENT,(616) 291-6703,49508,6
AS410294135,68th Street,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1777 68th Street ",Caledonia,KENT,(616) 554-3091,49316,6
AM250298908,A & M Inc.,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"11328 N. Bray Rd. ",Clio,GENESEE,(810) 247-2343,48420,12
AF580338269,A & R Premiere Care,ADULT FAMILY HOME (CAPACITY 1-6),"12245 Allison Road ",Milan,MONROE,(800) 595-6040,48160,5
AF110380112,A Day to Remember AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"225 Eloise Drive ",Benton Harbor,BERRIEN,(269) 252-5066,49022,5
AM190391046,"A Ewing Country Estate AFC, Inc.",ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"10686 Wacousta Road ",DeWitt,CLINTON,(517) 626-6763,48820,12
AM190338087,A Family Affair,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"8990 E. M-78 ",Haslett,CLINTON,(517) 339-8968,48840,12
AS390418934,A Global Homecare LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"930 Southern Ave ",Kalamazoo,KALAMAZOO,(786) 704-2191,49001,6
AS820407427,A Heart That Cares LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"25345 Haskell St ",Taylor,WAYNE,(313) 914-3098,48180,4
AS230396089,A Home Away From Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3121 Grand Ledge Highway ",Grand Ledge,EATON,(517) 925-1777,48837,6
AS630379026,A Loving Heart,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1382 Potomac Drive ",Rochester Hills,OAKLAND,(248) 212-3579,48306,6
AS210409278,A New Dahn Rising,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1301 Delta Ave ",Gladstone,DELTA,(906) 420-8148,49837,6
AS730396181,A Place Called Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"440 S. 10th Street ",Saginaw,SAGINAW,(989) 482-8989,48601,6
AS730409293,A Place Called Home 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2810 Hampshire ",Saginaw,SAGINAW,(989) 482-8989,48601,4
AL110405928,A Place Called Home In Stevensville LLC,ADULT LARGE GROUP HOME (CAPACITY 13-20),"4167 N. Roosevelt Rd ",Stevensville,BERRIEN,(269) 281-0357,49127,20
AS630393263,A Plus Quality Home Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"21885 Tuller Court ",Southfield,OAKLAND,(248) 938-3386,48076,6
AS500418767,A Second Home AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"18501 Empire Ave ",Eastpointe,MACOMB,(313) 681-0776,48021,5
