"Region","Facility Number","Level of Care","Capacity","Facility Name","Address","City","Zip Code","County","Facility Mailing Address","Facility Mailing City","Facility Mailing Zip","Facility Phone Number","First Name Administrator","Last Name Administrator","Certification","DMH Licensed","Alzheimer's SCU","Entity Name","Definition"
"5","04161","SNF","132","KIRKSVILLE MANOR CARE CENTER","1705 EAST LAHARPE","KIRKSVILLE","63501-3927","ADAIR","1705 EAST LAHARPE","KIRKSVILLE","63501-3927","(660) 665-3774","CORY","ESLINGER","Medicare/Medicaid","false","false","KIRKSVILLE MANOR, INC","PROFIT CORPORATION"
"5","08218","SNF","120","TWIN PINES ADULT CARE CENTER","1900 S JAMISON","KIRKSVILLE","63501-5302","ADAIR","1900 S JAMISON","KIRKSVILLE","63501-5302","(660) 665-2887","JAMES","RICHARDSON","Medicare/Medicaid","false","false","ADAIR COUNTY NURSING HOME DISTRICT","NURSING HOME DISTRICT"
"5","16785","ALF**","42","HIGHLAND CREST ASSISTED LIVING","2204 S HALLIBURTON ST","KIRKSVILLE","63501-4651","ADAIR","2204 S HALLIBURTON ST","KIRKSVILLE","63501-4651","(660) 627-8004","KATHERN","BUCK",,"false","false","KIRKSVILLE RESIDENTIAL, LLC","LIMITED LIABILITY COMPANY"
"5","21851","RCF*","57","PREFERRED FAMILY HEALTHCARE, INC","900 EAST LAHARPE","KIRKSVILLE","63501-4520","ADAIR","PO BOX 767","KIRKSVILLE","63501-0767","(660) 665-1962","WALTER","WINN",,"true","false","PREFERRED FAMILY HEALTHCARE, INC","NOT FOR PROFIT CORPORATION"
"5","23608","ALF**","28","HIGHLAND CREST MEMORY CARE","620 GILASPY ROAD","KIRKSVILLE","63501-4678","ADAIR","620 GILASPY RD","KIRKSVILLE","63501-4678","(660) 627-8004","KATHERN","BUCK",,"false","true","KIRKSVILLE RESIDENTIAL, LLC","LIMITED LIABILITY COMPANY"
"4","04478","SNF","120","LAVERNA MANOR HEALTH & REHABILITATION","904 SOUTH HALL AVE","SAVANNAH","64485-1952","ANDREW","904 SOUTH HALL AVE","SAVANNAH","64485-1952","(816) 324-3185","KAREN","FLETCHALL","Medicare/Medicaid","false","true","LAVERNA MANOR HEALTH & REHABILITATION LLC","LIMITED LIABILITY COMPANY"
"4","07147","SNF","88","ABUNDANT ACRES CARE AND REHAB","13277 STATE ROUTE D","SAVANNAH","64485-9431","ANDREW","13277 STATE ROUTE D","SAVANNAH","64485-9431","(816) 324-5991","CARMEN","COTTON","Medicare/Medicaid","false","false","ANDREW COUNTY NURSING HOME DISTRICT","NURSING HOME DISTRICT"
"4","06041","SNF","60","PLEASANT VIEW NURSING HOME","470 RAINBOW DR","ROCK PORT","64482-1641","ATCHISON","PO BOX 273","ROCK PORT","64482-0273","(660) 744-6252","MEGAN","TWYMAN","Medicare/Medicaid","false","false","PLEASANT VIEW HEALTHCARE LLC","LIMITED LIABILITY COMPANY"
"5","04146","ICF","39","KING'S DAUGHTERS HOME, THE","620 WEST BOULEVARD ST","MEXICO","65265-2199","AUDRAIN","620 WEST BOULEVARD ST","MEXICO","65265-2199","(573) 581-1577","DARUS","LOVE",,"false","false","MO BRANCH OF THE INTERNATIONAL ORDER OF THE KING'S DAUGHTERS & SONS, INC","NOT FOR PROFIT CORPORATION"
"5","04146","RCF*","12","KING'S DAUGHTERS HOME, THE","620 WEST BOULEVARD ST","MEXICO","65265-2199","AUDRAIN","620 WEST BOULEVARD ST","MEXICO","65265-2199","(573) 581-1577","DARUS","LOVE",,"false","false","MO BRANCH OF THE INTERNATIONAL ORDER OF THE KING'S DAUGHTERS & SONS, INC","NOT FOR PROFIT CORPORATION"
"5","05804","SNF","124","PIN OAKS LIVING CENTER","1525 WEST MONROE ST","MEXICO","65265-1201","AUDRAIN","1525 WEST MONROE ST","MEXICO","65265-1201","(573) 581-7261","HAYLEE","LUNSFORD","Medicare/Medicaid","false","false","N & R OF MEXICO, LLC","LIMITED LIABILITY COMPANY"
"5","08096","SNF","90","BAPTIST HOMES, TRI-COUNTY","601 NORTH GALLOWAY RD","VANDALIA","63382-1252","AUDRAIN","601 NORTH GALLOWAY RD","VANDALIA","63382-1252","(573) 594-6467","JESSE","SOONDRUM","Medicare/Medicaid","false","true","BAPTIST HOME, THE","NOT FOR PROFIT CORPORATION"
"5","08096","RCF","20","BAPTIST HOMES, TRI-COUNTY","601 NORTH GALLOWAY RD","VANDALIA","63382-1252","AUDRAIN","601 NORTH GALLOWAY RD","VANDALIA","63382-1252","(573) 594-6467","JESSE","SOONDRUM",,"false","false","BAPTIST HOME, THE","NOT FOR PROFIT CORPORATION"
"5","13544","ALF**","39","LAKEVIEW BEND MEMORY CARE","1700 ASBURY CIRCLE WEST","MEXICO","65265-1400","AUDRAIN","1722 HUNTINGFIELD DR","MEXICO","65265-3808","(573) 581-8777","CONNOR","SALISBURY",,"false","true","MEXICO RESIDENTIAL, LLC","LIMITED LIABILITY COMPANY"
"5","23534","ALF**","42","TEAL LAKE ASSISTED LIVING","1722 HUNTINGFIELD DR","MEXICO","65265-3808","AUDRAIN","1722 HUNTINGFIELD DR","MEXICO","65265-3808","(573) 582-7800","CONNOR","SALISBURY",,"false","false","TEAL LAKE RESIDENTIAL, LLC","LIMITED LIABILITY COMPANY"
"5","24425","RCF","12","ESSEX OF MEXICO, THE","1109 OLD FARM RD WEST","MEXICO","65265-3250","AUDRAIN","1109 OLD FARM RD WEST","MEXICO","65265-3250","(573) 581-5223","ALISHA","JOHNSON",,"false","false","BRISTOL CARE, INC","PROFIT CORPORATION"
"1","01097","SNF","60","CASSVILLE HEALTH CARE CENTER","1300 COUNTY FARM RD","CASSVILLE","65625-1726","BARRY","1300 COUNTY FARM RD","CASSVILLE","65625-1726","(417) 847-3386","MATTHEW","WOODS","Medicare/Medicaid","false","false","CASSVILLE HEALTH CARE CENTER LLC","LIMITED LIABILITY COMPANY"
"1","04315","SNF","79","LACOBA HOMES, INC","850 HIGHWAY 60","MONETT","65708-9376","BARRY","PO BOX 885","MONETT","65708-0885","(417) 235-7895","WANDA","WEST","Medicare/Medicaid","false","false","LACOBA HOMES, INC","NOT FOR PROFIT CORPORATION"
"1","10644","SNF","90","ASPIRE SENIOR LIVING ROARING RIVER","812 OLD EXETER RD","CASSVILLE","65625-1704","BARRY","812 OLD EXETER RD","CASSVILLE","65625-1704","(417) 847-2184","ROBERT","BRIM","Medicare/Medicaid","false","true","ASPIRE SENIOR LIVING ROARING RIVER LLC","LIMITED LIABILITY COMPANY"
"1","12737","RCF*","33","COUNTRYSIDE CARE CENTER, LLC","385 SOUTH EISENHOWER","MONETT","65708-8266","BARRY","PO BOX 434","MONETT","65708-0434","(417) 235-4040","MARY","HOWLETT",,"true","false","COUNTRYSIDE CARE CENTER, LLC","LIMITED LIABILITY COMPANY"
"1","15295","RCF*","30","CEDAR RIDGE CARE CENTER, LLC","71 SYCAMORE","CASSVILLE","65625-1755","BARRY","PO BOX 633","CASSVILLE","65625-0633","(417) 847-5546","MARY","HOWLETT",,"true","false","CEDAR RIDGE CARE CENTER, LLC","LIMITED LIABILITY COMPANY"
"1","18227","RCF","20","LEISURE LIVING","305 5TH ST","MONETT","65708-2312","BARRY","305 5TH ST","MONETT","65708-2312","(417) 235-5959","JACK","GRIGSBY",,"true","false","GMT FAMILY ENTERPRISE, INC","PROFIT CORPORATION"
"1","01346","SNF","123","TRUMAN HEALTHCARE & REHABILITATION CENTER","206 WEST FIRST ST","LAMAR","64759-1291","BARTON","206 WEST FIRST ST","LAMAR","64759-1291","(417) 682-5718","LISA","SELVEY","Medicare/Medicaid","false","true","LAMAR NO. 1, INC","PROFIT CORPORATION"
"1","18951","RCF","12","BRISTOL MANOR OF LAMAR","603 EAST 17TH ST","LAMAR","64759-2303","BARTON","603 EAST 17TH ST","LAMAR","64759-2303","(417) 682-6762","AMANDA","KUKOVICH",,"false","false","BRISTOL CARE, INC","PROFIT CORPORATION"
"1","20869","RCF*","56","MAPLE SENIOR LIVING LLC","3 SOUTHWEST FIRST LANE","LAMAR","64759-8313","BARTON","3 SOUTHWEST FIRST LANE","LAMAR","64759-8313","(417) 682-6184","PAMELA","REED",,"false","false","MAPLE SENIOR LIVING LLC","LIMITED LIABILITY COMPANY"
"3","00032","SNF","38","BAPTIST HOMES OF ADRIAN","402 WEST 1ST STREET","ADRIAN","64720-9277","BATES","402 WEST 1ST STREET","ADRIAN","64720-9277","(816) 297-8901","RONALD","PENCE","Medicare/Medicaid","false","false","BAPTIST HOME, THE","NOT FOR PROFIT CORPORATION"
"3","05319","SNF","105","MEDICALODGES BUTLER","103 EAST NURSERY","BUTLER","64730-2331","BATES","103 EAST NURSERY","BUTLER","64730-2331","(660) 679-3179","MISTY","BROOKS","Medicare/Medicaid","false","true","MEDICALODGES, INC","PROFIT CORPORATION"
"3","08627","SNF","98","BUTLER REHAB AND HEALTHCARE CENTER","416 SOUTH HIGH ST","BUTLER","64730-1827","BATES","416 SOUTH HIGH ST","BUTLER","64730-1827","(660) 679-6158","JOSH","MERRIMAN","Medicare/Medicaid","false","true","BUTLER OPERATOR LLC","LIMITED LIABILITY COMPANY"
"3","18817","RCF","12","BRISTOL MANOR OF BUTLER","411 SOUTH DELAWARE","BUTLER","64730-2311","BATES","411 SOUTH DELAWARE","BUTLER","64730-2311","(660) 679-3661","DOROTHY","CARTER",,"false","false","BRISTOL CARE, INC","PROFIT CORPORATION"
"6","03039","SNF","72","GOOD SAMARITAN CARE CENTER","403 WEST MAIN ST","COLE CAMP","65325-1144","BENTON","403 WEST MAIN ST","COLE CAMP","65325-1144","(660) 668-4515","MARY","ENGLES","Medicare/Medicaid","false","false","GOOD SAMARITAN NURSING HOME DISTRICT","NURSING HOME DISTRICT"
"6","04803","ALF","14","LAKESIDE SUITES","205 TIMBERLINE DR","LINCOLN","65338-2007","BENTON","205 TIMBERLINE DR","LINCOLN","65338-2007","(660) 547-3322","JENNIFER","HOWARD",,"false","false","LINCOLN COMMUNITY NURSING HOME DISTRICT","NURSING HOME DISTRICT"
"6","04803","SNF","66","LINCOLN COMMUNITY CARE CENTER","205 TIMBERLINE DR","LINCOLN","65338-2007","BENTON","205 TIMBERLINE DR","LINCOLN","65338-2007","(660) 547-3322","JENNIFER","HOWARD","Medicare/Medicaid","false","false","LINCOLN COMMUNITY NURSING HOME DISTRICT","NURSING HOME DISTRICT"
"6","15243","SNF","90","ASPIRE SENIOR LIVING WARSAW","1609 SUNCHASE DR","WARSAW","65355-3059","BENTON","1609 SUNCHASE DR","WARSAW","65355-3059","(660) 438-2970","CASANDRA","GOULD","Medicare/Medicaid","false","true","ASPIRE SENIOR LIVING WARSAW LLC","LIMITED LIABILITY COMPANY"
"6","16343","RCF","12","BRISTOL MANOR OF WARSAW","1600 ESTATE DR","WARSAW","65355-3061","BENTON","1600 ESTATE DR","WARSAW","65355-3061","(660) 438-7173","DARLINE","FRAISER",,"false","false","BRISTOL CARE, INC","PROFIT CORPORATION"
"6","18092","RCF","12","BRISTOL MANOR OF LINCOLN","204 SOUTH HIGHWAY 65","LINCOLN","65338-2587","BENTON","204 SOUTH HIGHWAY 65","LINCOLN","65338-2587","(660) 547-2580","SHANDI","STILLWELL",,"false","false","BRISTOL CARE, INC","PROFIT CORPORATION"
"6","26313","RCF","30","ANEW SENIOR LIVING COLE CAMP","517 NORTH OAK","COLE CAMP","65325-1264","BENTON","PO BOX 252","COLE CAMP","65325-0252","(660) 668-3140","GEORGANN","FOSTER",,"false","false","ANEW HEALTHCARE OPERATIONS-COLE CAMP LLC","LIMITED LIABILITY COMPANY"
"6","33521","RCF","35","RIVERS EDGE CARE HOME LLC","802 KENNEDY DRIVE","WARSAW","65355-","BENTON","802 KENNEDY DRIVE","WARSAW","65355-","(660) 530-8414","ASHLEY","DUNHAM",,"false","false","RIVERS EDGE CARE HOME LLC","LIMITED LIABILITY COMPANY"
"2","07171","RCF*","12","J & J RESIDENTIAL CARE FACILITY II","14330 JUNCO LANE","MARBLE HILL","63764-0378","BOLLINGER","PO BOX 378","MARBLE HILL","63764-0378","(573) 238-4602","BARBARA","GREBING",,"true","false","J & J ASSISTED LIVING, LLC","LIMITED LIABILITY COMPANY"
"2","08707","RCF*","32","RANCH RESIDENTIAL CARE FACILITY THE","ROUTE 2, BOX 2790","MARBLE HILL","63764-9510","BOLLINGER","ROUTE 2, BOX 2790","MARBLE HILL","63764-9510","(573) 238-4253","SCOTTIE","COLE",,"true","false","CROSSTREE HEALTHCARE THE RANCH LLC","LIMITED LIABILITY COMPANY"
"2","10864","SNF","98","STONEBRIDGE MARBLE HILL","702 HIGHWAY 34 WEST","MARBLE HILL","63764-4301","BOLLINGER","702 HWY 34 WEST","MARBLE HILL","63764-4301","(573) 238-2614","ABBEY","JANSEN","Medicare/Medicaid","false","false","ELDERCARE OF MARBLE HILL, LLC","LIMITED LIABILITY COMPANY"
"2","11123","RCF","20","DIANA'S BOARDING HOME 1, INC","15432 STATE HIGHWAY M","MARBLE HILL","63764-7487","BOLLINGER","15431 STATE HIGHWAY M","MARBLE HILL","63764-7487","(573) 866-2010","AMANDA","WAGNER",,"true","false","DIANA'S BOARDING HOME 1 INC","PROFIT CORPORATION"
"2","18783","ALF","24","HERITAGE HILLS ASSISTED LIVING FACILITY","9651 STATE HIGHWAY 72","PATTON","63662-9760","BOLLINGER","PO BOX B","PATTON","63662-0010","(573) 866-2003","SHEILA","STACY",,"true","false","HERITAGE HILLS LLC","LIMITED LIABILITY COMPANY"
"2","23940","RCF","40","DIANA'S BOARDING HOME 2","25140 BUZZARD DR","MARBLE HILL","63764-9408","BOLLINGER","HC 64, BOX 4677","MARBLE HILL","63764-9408","(573) 238-3344","TERRY","WAGNER",,"true","false","DIANA'S BOARDING HOME 2, INC","PROFIT CORPORATION"
"2","30984","RCF","40","ANNIE'S HOUSE INC","25228 BUZZARD DRIVE","MARBLE HILL","63764-9408","BOLLINGER","25228 BUZZARD DRIVE","MARBLE HILL","63764-9408","(573) 238-1300","ANDREA","COOK",,"true","false","ANNIE'S HOUSE, INC","PROFIT CORPORATION"
"6","00754","SNF","132","BLUFFS, THE","3105 BLUFF CREEK DR","COLUMBIA","65201-3529","BOONE","3105 BLUFF CREEK DR","COLUMBIA","65201-3529","(573) 442-6060","CHRISTINA","MOORE","Medicare/Medicaid","false","true","BOONE COUNTY SENIOR CITIZEN SERVICES CORPORATION","NOT FOR PROFIT CORPORATION"
"6","01706","SNF","97","VILLA AT BLUE RIDGE, THE","701 BLUE RIDGE ROAD","COLUMBIA","65201-3734","BOONE","701 BLUE RIDGE ROAD","COLUMBIA","65201-3734","(573) 474-6111","SARA","HYATT","Medicare/Medicaid","false","false","N & R OF NORTH COLUMBIA, LLC","LIMITED LIABILITY COMPANY"
