Facility Type,OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Phone,Admin Name,Admin Phone,Facility Email,Fac. Cont. Email,License,Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Care,Alzheimer Unit,NH Beds,Institutional NH Beds,Number of Licensed Beds,Medical Detox Beds,RTP Beds (PSAD),Social Detox Beds,x,y
Adult Day Care Facilities,10773,ACTIVE DAY OF LOW COUNTRY,104 SPRINGHALL DR,GOOSE CREEK,SC,29445-5335,843-553-1805,"SCHMUTZ, KRISTEN",843-553-1805,CONTRACTS@ACTIVEDAY.COM,,ADC-0195,02/28/2026,Berkeley / Corporation,6 NESHAMINY INTERPLEX DR STE 401,FEASTERVILLE TREVOSE,PA,19053,ACSR INC,,,,,,,,,588507.928,3652902.082
Adult Day Care Facilities,10786,WHITE ROCK DAY HEALTH CENTER,109 HUMMINGBIRD CT,CHAPIN,SC,29036,803-732-6670,"BURNETTE, ALI",803-732-6670,ALISON.BURNETTE2@PRISMAHEALTH.ORG,,ADC-0140,02/28/2026,Richland / Limited Liability,109 WARTBURG ST,WHITE ROCK,SC,29177,PRISMA HEALTH-MIDLANDS,,,,,,,,,474559.719,3778031.715
Adult Day Care Facilities,10787,ACTIVE DAY OF LIBERTY,315 W FRONT ST,LIBERTY,SC,29657-1011,864-843-6905,"WRIGHT, SHERRY",761-6397,LIBERTY@ACTIVEDAY.COM,,ADC-0124,10/31/2026,Pickens / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053-6964,ACTIVE SC TWO INC,,,,,,,,,344702.803,3850505.518
Adult Day Care Facilities,10788,ACTIVE DAY OF GRAND STRAND,3880 HOUNDSFIELD AVE,MYRTLE BEACH,SC,29577-5792,843-626-8501,"SCHWENINGER, LINDSAY",309-738-0793,SCADMIN@ACTIVEDAY.COM,LSCHWENINGER@ACTIVEDAY.COM,ADC-0129,10/31/2026,Horry / Corporation,6 NESHAMINY INTERPLEX STE 401,TREVOSE,PA,19053-6964,ACTIVE SC ONE INC,,,,,,,,,697662.14,3733971.825
Adult Day Care Facilities,10789,ACTIVE DAY OF CHARLESTON,1954 ASHLEY RIVER RD STE K,CHARLESTON,SC,29407,843-762-5291,"EVENSON, NICHOLAS",843-762-5291,CONTRACTS@ACTIVEDAY.COM,,ADC-0130,10/31/2026,Charleston / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053-6964,ACTIVE SC ONE INC,,,,,,,,,591558.703,3630419.372
Adult Day Care Facilities,10790,SAINT PAUL BAPTIST CHURCH ADULT DAY CARE,248 E LAUREL ST,MULLINS,SC,29574-3219,843-464-9829,"OWENS NEAL, LINDA",843-464-9829,BAPT3016@BELLSOUTH.NET,,ADC-0164,04/30/2026,Marion / Non-Profit Corporation,PO BOX 533,MULLINS,SC,29574-0533,SAINT PAUL BAPTIST CHURCH INC,,,,,,,,,661262.965,3786202.1
Adult Day Care Facilities,10791,ACTIVE DAY OF WINNSBORO,219 N CONGRESS ST,WINNSBORO,SC,29180-1120,803-712-6820,"CLARK, KIMYA",803-712-6820,CONTRACTS@ACTIVEDAY.COM,WINNSOBORO@ACTIVEDAY.COM,ADC-0177,12/31/2025,Fairfield / Corporation,6 NESHAMINY INTERPLEX 401,FEASTERVILLE TREVOSE,PA,19053,ACSR INC,,,,,,,,,491848.299,3804782.827
Adult Day Care Facilities,10792,ACTIVE DAY OF GREENVILLE,21 MCBETH ST,GREENVILLE,SC,29611-3548,864-271-4211,"NEHODA, MATTHEW",215-642-6600,SCADMIN@ACTIVEDAY.COM,CONTRACTS@ACTIVEDAY.COM,ADC-0236,03/31/2026,Greenville / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053,ACSR INC,,,,,,,,,369480.271,3859349.963
Adult Day Care Facilities,10793,MARKETPLACE CINEMA ADULT DAY CARE,3420 CLEMSON BLVD UNIT 17,ANDERSON,SC,29621-1324,864-225-3370,"MARTIN, THERESA",864-225-3370,DWRIGHT@SENIORSOLUTIONS-SC.ORG,,ADC-0246,01/31/2026,Anderson / Non-Profit Corporation,3420 CLEMSON BLVD STE 17,ANDERSON,SC,29621-1324,SENIOR SOLUTIONS,,,,,,,,,346732.734,3824351.353
Adult Day Care Facilities,10794,FLINT HILL COMMUNITY ADULT DAY CARE CENTER,371 LIGE ST,ROCK HILL,SC,29730-5634,803-327-2044,"WRIGHT, NAKIAYA",,FLINTHILLADC@COMPORIUM.NET,,ADC-0182,07/31/2026,York / Non-Profit Corporation,PO BOX 12314,ROCK HILL,SC,29731-2314,FLINT HILL COMMUNITY ADULT DAY CARE CENTER,,,,,,,,,496420.438,3863158.177
Adult Day Care Facilities,10795,MARION COUNTY ADULT DAY CARE,506 S MAIN ST,MARION,SC,29571-4304,843-423-6220,"BETHEA, MARGARET",843-423-6220,JAMESWOODS1@ATT.NET,MARIONCOUNTYADULTDAYCARE@GMAIL.COM,ADC-0112,04/30/2026,Marion / Corporation,PO BOX 331,CAMDEN,SC,29021-0331,HUDSON INC,,,,,,,,,647389.835,3782549.088
Adult Day Care Facilities,10796,SENIOR SOLUTIONS-OCONEE ADULT DAY CARE,101 PERRY AVE,SENECA,SC,29678-3565,864-885-1000,"POETZ, EMILY",864-885-1000,DWRIGHT@SENIORSOLUTIONS-SC.ORG,,ADC-0046,01/31/2026,Oconee / Non-Profit Corporation,101 PERRY AVE,SENECA,SC,29678-3565,SENIOR SOLUTIONS,,,,,,,,,321904.242,3839694.623
Adult Day Care Facilities,10797,SC EPISCOPAL HOME AT STILL HOPES ADULT DAY CARE,1 STILL HOPES DR,WEST COLUMBIA,SC,29169-7164,803-796-6490,"ROBERTSON, NIKKI W.",803-739-5043,NROBERTSON@STILLHOPES.ORG,NROBERTSON@STILLHOPES.ORG,ADC-0063,07/31/2026,Lexington / Corporation,PO BOX 2959,WEST COLUMBIA,SC,29171-2959,SOUTH CAROLINA EPISCOPAL HOME AT STILL HOPES INC,,,,,,,,,494267.549,3760572.775
Adult Day Care Facilities,10798,LAUREL DAY HEALTH CENTER,1308 LAUREL ST,COLUMBIA,SC,29201-2514,803-931-8166,"SHEA, JAMIE",803-931-8166,ALISON.BURNETTE2@PRISMAHEALTH.ORG,JAMIE.SHEA@PRISMAHEALTH.ORG,ADC-0137,02/28/2026,Richland / Limited Liability,1308 LAUREL ST,COLUMBIA,SC,29201-2514,PRISMA HEALTH-MIDLANDS,,,,,,,,,496774.228,3763232.316
Adult Day Care Facilities,10799,NEWBERRY COUNTY COUNCIL ON AGING ADULT DAY HEALTH CARE,1300 HUNT ST,NEWBERRY,SC,29108-3082,803-276-8266,"BALLENTINE, JANET",803-276-8266,LYNN@NCCOA.ORG,JANET@NCCOA.ORG,ADC-0073,10/31/2026,Newberry / Non-Profit Corporation,1300 HUNT ST,NEWBERRY,SC,29108-3082,NEWBERRY COUNTY COUNCIL ON AGING,,,,,,,,,444170.452,3793749.632
Adult Day Care Facilities,10800,ALON-JAY ADULT DAY CARE,567 PATTERSON ST,ALLENDALE,SC,29810-6027,803-584-1333,"ISHAM, GERALD",770-313-3377,ALONJAYADC@GMAIL.COM,GERALD.A.ISHAM@GMAIL.COM,ADC-0191,01/31/2026,Allendale / Partnership,PO BOX 428,FAIRFAX,SC,29827,MR & MRS EDDIE D ISHAM,,,,,,,,,472486.906,3651681.826
Adult Day Care Facilities,10801,ACTIVE DAY OF GREER,736 S LINE ST EXT,GREER,SC,29651-4027,864-848-3003,"MOORE, WENDY",864-848-3003,SCADMIN@ACTIVEDAY.COM,WMOORE@ACTIVEDAY.COM,ADC-0125,10/31/2026,Greenville / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053-6964,ACTIVE SC TWO INC,,,,,,,,,388190.94,3865444.202
Adult Day Care Facilities,10802,BELMONT LUXURY ADULT DAY CARE,1706 CAMDEN RD,HOLLY HILL,SC,29059-8937,803-496-1076,"BRYANT, DAISHA",803-971-1620,JAZZ1967@EMBARQMAIL.COM,BYRANTDAISHA@YAHOO.COM,ADC-0205,07/31/2026,Orangeburg / Limited Liability,1706 CAMDEN RD,HOLLY HILL,SC,29059-8937,TOTAL COMFORT ADULT DAY CARE LLC,,,,,,,,,553633.282,3693810.921
Adult Day Care Facilities,10803,HOPEWELL SENIOR DAY CARE CENTER,50 HOPEWELL DR,SALTERS,SC,29590-3439,843-387-1204,"EVANS, DOTTIE M.",843-387-1204,HOPEJ@FTC-I.NET,HOPEJ@FTC-I.NET,ADC-0206,08/31/2026,Williamsburg / Corporation,1277 BLAKELY RD,SALTERS,SC,29590-3439,HOPEWELL SENIOR DAY CARE INC,,,,,,,,,614717.469,3708038.557
Adult Day Care Facilities,10804,SANTEE ADULT DAYCARE,1580 BASS DR,SANTEE,SC,29142,803-854-2401,"SEABROOKS, MELVIN",803-854-2401,SANTEEADULTCARE@YAHOO.COM,SANTEEADULTCARE@YAHOO.COM,ADC-0269,03/31/2026,Orangeburg / Ltd. Liability,PO BOX 947,SANTEE,SC,29142-0947,SANTEE ADULT DAY CARE LLC,,,,,,,,,547727.98,3704155.12
Adult Day Care Facilities,10806,RUTH LOUIS ADULT HEALTH DAY CARE,1349 SEABOARD RD,ANDREWS,SC,29510-5628,843-221-5848,"NESMITH, PEARL",843-221-5848,RUTHLOUISADC@FTC-I.NET,RUTHLOUISADC@FTC-I.NET,ADC-0226,05/31/2026,Williamsburg / Non-Profit Corporation,1349 SEABOARD RD,ANDREWS,SC,29510-5628,RUTH LOUIS ADULT HEALTH DAY CARE INC,,,,,,,,,626644.47,3703795.866
Adult Day Care Facilities,10807,ACTIVE DAY OF SUMTER,930 OSWEGO RD,SUMTER,SC,29153-8733,803-775-4281,"JEFFERSON, TYRA",803-775-4281,SCADMIN@ACTIVEDAY.COM,SUMTER@ACTIVEDAY.COM,ADC-0144,05/31/2026,Sumter / Corporation,6 NESHAMINY INTERPLEX DR STE 401,FEASTERVILLE TREVOSE,PA,19053,ACSR INC,,,,,,,,,562989.258,3755582.206
Adult Day Care Facilities,10808,DILLON ADULT DAY CARE,106 W WASHINGTON ST,DILLON,SC,29536,843-487-5040,PH#:,,MEISHADILLON@AOL.COM,,ADC-0230,10/31/2026,Dillon / Limited Liability,,,,,DILLON ADULT DAY CARE LLC,,,,,,,,,649669.815,3809983.657
Adult Day Care Facilities,10810,HORIZON ADULT DAY CARE,3420 CLEMSON BLVD STE 17,ANDERSON,SC,29621-1324,864-225-3370,PH#:,,DFABIAN@SENIORSOLUTIONS-SC.ORG,,ADC-0248,10/31/2026,Anderson / Non-Profit Corporation,3420 CLEMSON BLVD STE 17,ANDERSON,SC,29621-1324,SENIOR SOLUTIONS,,,,,,,,,346732.734,3824351.353
