OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,x,y
10773,ACTIVE DAY OF LOW COUNTRY,104 SPRINGHALL DR,GOOSE CREEK,SC,29445-5335,843-553-1805,"SCHMUTZ, KRISTEN PH#: 843-553-1805",CONTRACTS@ACTIVEDAY.COM,,ADC-0195 / 02/28/2026,Berkeley / Corporation,6 NESHAMINY INTERPLEX DR STE 401,FEASTERVILLE TREVOSE,PA,19053,ACSR INC,588507.928,3652902.082
10786,WHITE ROCK DAY HEALTH CENTER,109 HUMMINGBIRD CT,CHAPIN,SC,29036,803-732-6670,"BURNETTE, ALI PH#: 803-732-6670",ALISON.BURNETTE2@PRISMAHEALTH.ORG,,ADC-0140 / 02/28/2026,Richland / Limited Liability,109 WARTBURG ST,WHITE ROCK,SC,29177,PRISMA HEALTH-MIDLANDS,474559.719,3778031.715
10787,ACTIVE DAY OF LIBERTY,315 W FRONT ST,LIBERTY,SC,29657-1011,864-843-6905,"WRIGHT, SHERRY PH#: 761-6397",LIBERTY@ACTIVEDAY.COM,,ADC-0124 / 10/31/2026,Pickens / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053-6964,ACTIVE SC TWO INC,344702.803,3850505.518
10788,ACTIVE DAY OF GRAND STRAND,3880 HOUNDSFIELD AVE,MYRTLE BEACH,SC,29577-5792,843-626-8501,"SCHWENINGER, LINDSAY PH#: 309-738-0793",SCADMIN@ACTIVEDAY.COM,LSCHWENINGER@ACTIVEDAY.COM,ADC-0129 / 10/31/2026,Horry / Corporation,6 NESHAMINY INTERPLEX STE 401,TREVOSE,PA,19053-6964,ACTIVE SC ONE INC,697662.14,3733971.825
10789,ACTIVE DAY OF CHARLESTON,1954 ASHLEY RIVER RD STE K,CHARLESTON,SC,29407,843-762-5291,"EVENSON, NICHOLAS PH#: 843-762-5291",CONTRACTS@ACTIVEDAY.COM,,ADC-0130 / 10/31/2026,Charleston / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053-6964,ACTIVE SC ONE INC,591558.703,3630419.372
10790,SAINT PAUL BAPTIST CHURCH ADULT DAY CARE,248 E LAUREL ST,MULLINS,SC,29574-3219,843-464-9829,"OWENS NEAL, LINDA PH#: 843-464-9829",BAPT3016@BELLSOUTH.NET,,ADC-0164 / 04/30/2026,Marion / Non-Profit Corporation,PO BOX 533,MULLINS,SC,29574-0533,SAINT PAUL BAPTIST CHURCH INC,661262.965,3786202.1
10791,ACTIVE DAY OF WINNSBORO,219 N CONGRESS ST,WINNSBORO,SC,29180-1120,803-712-6820,"CLARK, KIMYA PH#: 803-712-6820",CONTRACTS@ACTIVEDAY.COM,WINNSOBORO@ACTIVEDAY.COM,ADC-0177 / 12/31/2025,Fairfield / Corporation,6 NESHAMINY INTERPLEX 401,FEASTERVILLE TREVOSE,PA,19053,ACSR INC,491848.299,3804782.827
10792,ACTIVE DAY OF GREENVILLE,21 MCBETH ST,GREENVILLE,SC,29611-3548,864-271-4211,"NEHODA, MATTHEW PH#: 215-642-6600",SCADMIN@ACTIVEDAY.COM,CONTRACTS@ACTIVEDAY.COM,ADC-0236 / 03/31/2026,Greenville / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053,ACSR INC,369480.271,3859349.963
10793,MARKETPLACE CINEMA ADULT DAY CARE,3420 CLEMSON BLVD UNIT 17,ANDERSON,SC,29621-1324,864-225-3370,"MARTIN, THERESA PH#: 864-225-3370",DWRIGHT@SENIORSOLUTIONS-SC.ORG,,ADC-0246 / 01/31/2026,Anderson / Non-Profit Corporation,3420 CLEMSON BLVD STE 17,ANDERSON,SC,29621-1324,SENIOR SOLUTIONS,346732.734,3824351.353
10794,FLINT HILL COMMUNITY ADULT DAY CARE CENTER,371 LIGE ST,ROCK HILL,SC,29730-5634,803-327-2044,"WRIGHT, NAKIAYA PH#: ",FLINTHILLADC@COMPORIUM.NET,,ADC-0182 / 07/31/2026,York / Non-Profit Corporation,PO BOX 12314,ROCK HILL,SC,29731-2314,FLINT HILL COMMUNITY ADULT DAY CARE CENTER,496420.438,3863158.177
10795,MARION COUNTY ADULT DAY CARE,506 S MAIN ST,MARION,SC,29571-4304,843-423-6220,"BETHEA, MARGARET PH#: 843-423-6220",JAMESWOODS1@ATT.NET,MARIONCOUNTYADULTDAYCARE@GMAIL.COM,ADC-0112 / 04/30/2026,Marion / Corporation,PO BOX 331,CAMDEN,SC,29021-0331,HUDSON INC,647389.835,3782549.088
