OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,Number of Licensed Beds,x,y
10783,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,1 BISHOP GADSDEN WAY,CHARLESTON,SC,29412-3506,843-762-3300,"COOK, JONNA PH#: 843-406-6252",JONNA.COOK@BISHOPGADSDEN.ORG,JONNA.COOK@BISHOPGADSDEN.ORG,CRC-0451 / 12/31/2026,Charleston / Non-Profit Corporation,1 GADSDEN WAY,CHARLESTON,SC,29412,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,Y,Y,123,595763.512,3622298.048
10864,FOREST CIRCLE COMMUNITY RESIDENCE,505 FOREST CIR,WALTERBORO,SC,29488-2869,843-549-5140,"FARMER, THERESA L. PH#: 843-549-5140",TFARMER@COLLETONDSN.ORG,TFARMER@COLLETONDSN.ORG,CRC-1527 / 09/30/2026,Colleton / State,505 FOREST CIR,WALTERBORO,SC,29488-2869,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,N,N,8,530039.891,3641968.915
10870,JOSIE DRIVE COMMUNITY RESIDENCE,210 JOSIE DR,WALTERBORO,SC,29488-2791,843-549-6979,"FARMER, THERESA L. PH#: 843-549-6979",TFARMER@COLLETONDSN.ORG,TFARMER@COLLETONDSN.ORG,CRC-1528 / 09/30/2026,Colleton / State,210 JOSIE DR,WALTERBORO,SC,29488-2791,COLLETON COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,N,N,8,530684.205,3642021.853
10890,BENCHMARK HOMES - SPARTANBURG,450 W HENRY ST,SPARTANBURG,SC,29306-6037,864-308-8852,"SMAL, LUCY PH#: 864-585-0322",LUCY.SMAL@CHARLESLEA.ORG,,CRC-1509 / 09/30/2026,Spartanburg / Corporation,195 BURDETTE ST,SPARTANBURG,SC,29307-1003,CHARLES LEA CENTER,N,N,12,414080.278,3867237.882
10891,BLACK'S DRIVE COMMUNITY RESIDENCE,160 BLACKS DR,WILLISTON,SC,29853-3558,803-266-3211,"WALKER, BRIANNA SYMONE PH#: ",WALKER_SYMONE@YAHOO.COM,160 BLACKS DR,CRC-1524 / 08/31/2026,Barnwell / County,20 PARK ST,BARNWELL,SC,29812-0556,ALLENDALE/BARNWELL COUNTIES DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,459319.409,3696928.017
10894,CAMDEN I,975 WATEREE BLVD,CAMDEN,SC,29020-4134,803-432-0973,"WRIGHT, CRYSTAL J. PH#: 803-432-0973",C.WRIGHT@CHESCOSERVICES.ORG,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1525 / 09/30/2026,Kershaw / Sole Proprietorship,"110 PONTIAC BUSINESS CENTER DR STE C, CHESCO SERVICES",ELGIN,SC,29045,CHESCO SERVICES,N,N,8,534437.299,3789505.96
10895,CAMDEN II,975 WATEREE BLVD,CAMDEN,SC,29020-4134,803-432-1345,"WRIGHT, CRYSTAL J. PH#: 803-432-0973",C.WRIGHT@CHESCOSERVICES.ORG,C.WRIGHT@CHESCOSERVICES.ORG,CRC-1522 / 05/31/2026,Kershaw / Sole Proprietorship,110 PONTIAC BUSINESS CENTER DR STE C,ELGIN,SC,29045,CHESCO SERVICES,N,N,8,534437.299,3789505.96
10904,IDA LANE I CRCF,120 IDA LN,COLUMBIA,SC,29203-9234,803-786-7522,"PRIVETTE-HOLMES, CYNTHIA D. PH#: ",CHPRIVETTE@BABCOCKCENTER.ORG,,CRC-1520 / 03/31/2026,Richland / Corporation,2725 BANNY JONES AVE,WEST COLUMBIA,SC,29170-2109,BABCOCK CENTER INC,N,N,8,501812.94,3774574.927
10905,IDA LANE II CRCF,124 IDA LN,COLUMBIA,SC,29203-9234,803-786-7522,"PRIVETTE-HOLMES, CYNTHIA D. PH#: ",RWROTEN@BABCOCKCENTER.ORG,,CRC-1518 / 12/31/2026,Richland / Corporation,2725 BANNY JONES AVE,WEST COLUMBIA,SC,29170-2109,BABCOCK CENTER INC,N,N,8,501890.787,3774572.983
10908,KENSINGTON I,100 KENSINGTON RD,COLUMBIA,SC,29203-5451,803-931-3263,"BROWN, LETIA T. PH#: 803-256-0504",C.WRIGHT@CHESCOSERVICES.ORG,,CRC-1532 / 06/30/2026,Richland / Sole Proprietorship,"110 PONTIAC BUSINESS CENTER DR STE C, CHESCO SERVICES",ELGIN,SC,29045,CHESCO SERVICES,N,N,8,494714.991,3765579.855
10916,NORTH PINES COMMUNITY RESIDENCE,313 N PINES RD,BLYTHEWOOD,SC,29016-8788,803-788-6272,"LOCKHART, ELESHA J. PH#: 803-608-0767",C.WRIGHT@CHESCOSERVICES.ORG,E.LOCKHART@CHESCOSERVICES.ORG,CRC-1504 / 04/30/2026,Richland / Sole Proprietorship,110 PONTIAC BUSINESS CENTER DR STE C,ELGIN,SC,29045,CHESCO SERVICES,N,N,8,501926.06,3778651.055
11258,MAPLES OF HONEA PATH,224 WILDWOOD DR,HONEA PATH,SC,29654-1335,864-369-2000,"WILLIS, MARK N. PH#: 864-369-2000",MARKNYEWILLIS@GMAIL.COM,,CRC-0819 / 05/31/2026,Anderson / Corporation,224 WILDWOOD DR,HONEA PATH,SC,29654-1335,MAPLE MANOR INC,N,N,74,370432.455,3812969.616
11259,SC EPISCOPAL HOME AT STILL HOPES (CRCF),1 STILL HOPES DR,WEST COLUMBIA,SC,29169-7164,803-796-6490,"ROBERTSON, NIKKI W. PH#: 803-739-5043",NROBERTSON@STILLHOPES.ORG,NROBERTSON@STILLHOPES.ORG,CRC-0144 / 07/31/2026,Lexington / Corporation,1 STILL HOPES DR,WEST COLUMBIA,SC,29169-7164,SOUTH CAROLINA EPISCOPAL HOME AT STILL HOPES INC,Y,Y,48,494267.549,3760572.775
11261,ROLLING GREEN VILLAGE ASSISTED LIVING FACILITY,1 HOKE SMITH BLVD,GREENVILLE,SC,29615-5308,864-987-9800,"LORD, ANNA GRACE PH#: 864-987-9800",ANNAGRACED@ROLLINGGREENVILLAGE.COM,,CRC-0573 / 03/31/2026,Greenville / Non-Profit Corporation,1 HOKE SMITH BLVD,GREENVILLE,SC,29615-5308,ROLLING GREEN VILLAGE,Y,Y,52,384470.269,3856350.576
11262,JOANNE'S COMMUNITY CARE HOME #1,5048 PERCIVAL RD,ELGIN,SC,29045-9156,803-736-3860,"CALDWELL, JOANNE M. PH#: 803-736-3860",TOWANA_HAYES@ATT.NET,JOANNESCCH@AOL.COM,CRC-0932 / 06/30/2026,Richland / Sole Proprietorship,PO BOX 23494,COLUMBIA,SC,29224-3494,JOANNE M CALDWELL,N,N,10,517720.657,3774189.366
11263,DIXON'S COMMUNITY CARE HOME,1456 DIXON RD,ELGIN,SC,29045-9030,803-729-4309,"DIXON, JAMES M. PH#: 803-729-4309",JADIXON35@GMAIL.COM,JAMES.DIXON@RICHLANDONE.ORG,CRC-0934 / 09/30/2026,Kershaw / Corporation,1498 DIXON RD,ELGIN,SC,29045-9030,DIXON'S COMMUNITY CARE HOME INC,N,N,5,519637.286,3783336.544
11264,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FLORENCE,2350 W LUCAS ST,FLORENCE,SC,29501-1201,843-665-2222,"SANDERS, RHONDA PH#: 843-601-3861",RHONDA.SANDERS@PRESCOMM.ORG,,CRC-0242 / 09/30/2026,Florence / Corporation,2350 W LUCAS ST,FLORENCE,SC,29501-1201,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,47,609514.117,3788963.842
11265,ROUSE COMMUNITY CARE HOME #2,8809 WILSON BLVD,COLUMBIA,SC,29203-1817,803-786-9357,"ROUSE, MATRICE PH#: 803-513-0821",MATRICEROUSE@AOL.COM,,CRC-0328 / 12/31/2025,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,9,501135.438,3774492.381
11267,TRINITY ON LAURENS,213 LAURENS ST NW,AIKEN,SC,29801-3911,803-643-4200,"DORRIES, HEATHER E. PH#: 803-643-4200",HDORRIES@TRINITYONLAURENS.ORG,HDORRIES@TRINITYONLAURENS.ORG,CRC-0935 / 06/30/2026,Aiken / Non-Profit Corporation,213 LAURENS ST NW,AIKEN,SC,29801-3911,LUTHERAN HOMES OF SOUTH CAROLINA INC,N,N,55,433011.765,3714079.622
11268,LENEVAR COMMUNITY RESIDENCE,1435 W LENEVAR DR,CHARLESTON,SC,29407-5118,843-766-3061,"MILES, BRANDI PH#: 843-805-5800",BMILES@DSNCC.COM,BMILES@DSNCC.COM,CRC-0943 / 07/31/2026,Charleston / State,"PO BOX 22708, DISABILITIES BOARD OF CHARLESTON COUNTY",CHARLESTON,SC,29413-2708,DISABILITIES BOARD OF CHARLESTON COUNTY,N,N,8,593815.633,3630636.968
11270,SPRINGFIELD PLACE RESIDENTIAL CARE,2006 SPRINGFIELD CIR,NEWBERRY,SC,29106,803-405-1585,"MONTGOMERY, KATHY N. PH#: 803-276-2601",KMONTGOMERY@NEWBERRYCCRC.COM,KMONTGOMERY@NEWBERRYCCRC.COM,CRC-1250 / 02/28/2026,Fairfield / Limited Liability,2006 SPRINGFIELD CIR,NEWBERRY,SC,29108-3084,NEWBERRY OPERATOR LLC,N,Y,50,444597.22,3794046.778
11271,JOY COMMUNITY CARE HOME,6800 DOBY DR,COLUMBIA,SC,29203-5133,803-754-3157,"DOUGLAS, JONATHAN PH#: 803-754-3157",JDQCSI@AOL.COM,JDQCSI@AOL.COM,CRC-0961 / 11/30/2026,Richland / Sole Proprietorship,PO BOX 25215,COLUMBIA,SC,29224-5215,DEBORAH A SCOTT,N,N,10,501200.05,3769439.456
11273,MARTHA FRANKS BAPTIST RETIREMENT COMMUNITY,1 MARTHA FRANKS DR,LAURENS,SC,29360-1799,864-984-4541,"SPROUSE, ROBERT PH#: 864-681-8266",AP@SCBMA.COM,,CRC-0360 / 02/28/2026,Laurens / Corporation,1 MARTHA FRANKS DR,LAURENS,SC,29360-1799,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,Y,Y,82,405846.533,3818078.143
11274,PALMETTOS OF CHARLESTON,1900 ASHLEY CROSSING DR,CHARLESTON,SC,29414-5751,843-852-0505,"HUETHER, KALYN PH#: 843-852-0505",KALYN.HUETHER@NHCCARE.COM,,CRC-1263 / 07/31/2026,Charleston / Limited Liability,1900 ASHLEY CROSSING DR,CHARLESTON,SC,29414-5751,NHC PLACE-CHARLESTON LLC,Y,Y,60,590152.923,3631304.853
11275,GARDENS AT SUMTER,2065 MCCRAYS MILL RD,SUMTER,SC,29154-6111,803-778-9690,"DEVAUGHN, TRACY PH#: 843-292-0012",DIRECTOR@SUMTERSENIORS.COM,TDEVAUGHN@5SSL.COM,CRC-0988 / 06/30/2026,Sumter / Limited Liability,PO BOX 2568,HICKORY,NC,28603-2568,SUMTER AL HOLDINGS LLC,Y,Y,140,556711.593,3751770.684
11276,SOUTHERN HERITAGE,1713 CHARLESTON HWY,WEST COLUMBIA,SC,29169-5051,803-796-3113,"DOUGLAS, JONATHAN PH#: 803-796-3113",JDQCSI@AOL.COM,JDQCSI@AOL.COM,CRC-0993 / 03/31/2026,Lexington / Corporation,PO BOX 25215,COLUMBIA,SC,29224-5215,QUALITY CARE SERVICES INC,N,N,10,492792.735,3758560.264
11277,HERRIOTT'S RESIDENTIAL CARE FACILITY,114 LIME LN,SUMTER,SC,29150-6630,803-773-6682,"YORK-HERRIOTT, LUCINDA PH#: 803-773-6882",LUCINDAHERRIOTT@GMAIL.COM,LUCINDAHERRIOTT@GMAIL.COM,CRC-1013 / 06/30/2026,Sumter / Partnership,1685 REEDROMAN RD,SUMTER,SC,29153-8497,JOHN & LUCINDA HERRIOTT,N,N,14,561231.282,3751540.646
11278,SUMMIT HILLS ASSISTED LIVING COMMUNITY,100 SUMMIT HILLS DR,SPARTANBURG,SC,29307-1532,864-591-2222,"CROWE, JANA MARIE PH#: 864-208-8976",LICENSING@SUMMIT-HILLS.COM,JCROWE@SUMMIT-HILLS.COM,CRC-1113 / 09/30/2026,Spartanburg / Ltd. Liability,3530 TORINGDON WAY STE 204,CHARLOTTE,NC,28277-3436,SUMMIT HILLS LLC,Y,Y,79,418630.08,3871653.284
