OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Number of Licensed Beds,x,y
10774,RIDGE ROAD RESIDENCE,1810 RIDGE RD,GREENVILLE,SC,29607-4704,864-288-1907,"MCCLOUD, ADAM PH#: 864-679-0220",AMANDA.STONE@THRIVEUPSTATE.ORG,ADAM.MCCLOUD@THRIVEUPSTATE.ORG,MR15-0176 / 09/30/2026,Greenville / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,12,377675.691,3850466.944
10865,J FELTON BURTON COMMUNITY RESIDENCE,308 JENKINS SPRING RD,GREENWOOD,SC,29646-8617,864-942-8900,"VANCE, CAROLYN PH#: 864-942-8900",ERICA.CRAWFORD@DDSN.SC.GOV,DVANCE@BURTONCENTER.ORG,MR15-0072 / 05/31/2026,Greenwood / State,,,,,SOUTH CAROLINA DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,390333.813,3781846.295
10866,THOMAS DRIVE COMMUNITY RESIDENCE,4 THOMAS DR,SUMTER,SC,29150-2428,803-773-1931,"ALSTIN-TERRELL, KELLEY PH#: 803-773-1931",ERICA.CRAWFORD@DDSN.SC.GOV,KTERRELL@SCDSNB.ORG,MR15-0073 / 05/31/2026,Sumter / State,,,,,SOUTH CAROLINA DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,557528.803,3755951.282
10867,NANCY J MCCONNELL COMMUNITY RESIDENCE,219 S PLANTATION RD,LANCASTER,SC,29720-1847,803-285-4368,"BRAMLETT, NIKKI PH#: 803-285-4368",ERICA.CRAWFORD@DDSN.SC.GOV,NBRAMLETT@CLDSN.ORG,MR15-0075 / 05/31/2026,Lancaster / State,,,,,SOUTH CAROLINA DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,518864.249,3841031.763
10868,TOM MANGUM COMMUNITY RESIDENCE,223 SOUTH PLANTATION RD,LANCASTER,SC,29720,803-285-4368,"BRAMLETT, NIKKI PH#: 803-285-4368",ERICA.CRAWFORD@DDSN.SC.GOV,NBRAMLETT@CLDSN.ORG,MR15-0074 / 05/31/2026,Lancaster / State,,,,,SOUTH CAROLINA DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,518889.114,3841002.109
10869,H A MCCULLOUGH COMMUNITY RESIDENCE,2600 HOLLOWAY ST,NEWBERRY,SC,29108-4500,803-276-0078,"JONES, ROBERT S. PH#: 803-276-0078",ERICA.CRAWFORD@DDSN.SC.GOV,RJONES@NCDSNB.ORG,MR15-0102 / 03/31/2026,Newberry / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,12,444910.001,3792909.364
10871,HENRY & FREIDA BONDS HABILITATION CENTER,310 JENKINS SPRING RD,GREENWOOD,SC,29646-8617,864-942-8900,"VANCE, CAROLYN PH#: 864-942-8900",LCORDELL@BURTONCENTER.ORG,DVANCE@BURTONCENTER.ORG,MR15-0111 / 08/31/2026,Greenwood / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,390295.931,3781814.862
10872,CIVITAN COMMUNITY RESIDENCE,1820 RIDGE RD,GREENVILLE,SC,29607-4704,864-679-0220,"MCCLOUD, ADAM PH#: 864-679-0220",AMANDA.STONE@THRIVEUPSTATE.ORG,ADAM.MCCLOUD@THRIVEUPSTATE.ORG,MR15-0113 / 12/31/2025,Greenville / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,377678.97,3850392.875
10874,MAGNOLIA PLACE,514 E MAIN ST,OLANTA,SC,29114,843-667-5007,"BRADLEY, MARY PH#: 843-667-5007",ERICA.CRAWFORD@DDSN.SC.GOV,MBRADLEY@FCDSN.ORG,MR15-0126 / 07/31/2026,Florence / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,598891.502,3755253.646
10875,DILLS BLUFF COMMUNITY RESIDENCE,936 DILLS BLUFF RD,CHARLESTON,SC,29412-5316,843-805-5800,"MILES, BRANDI PH#: 843-805-5800",ERICA.CRAWFORD@DDSN.SC.GOV,BMILES@DSNCC.COM,MR15-0131 / 10/31/2026,Charleston / State,,,,,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,8,598948.332,3622313.542
