OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Care,Alzheimer Unit,NH Beds,Institutional NH Beds,Number of Licensed Beds,x,y
10776,LEXINGTON MEDICAL CENTER EXTENDED CARE,815 OLD CHEROKEE RD,LEXINGTON,SC,29072-8115,803-359-5181,"GILL, KATHRYN PH#: 803-359-5181",KDGILL@LEXHEALTH.ORG,KDGILL@LEXHEALTH.ORG,NCF-0730 / 12/31/2026,Lexington / County,815 OLD CHEROKEE RD,LEXINGTON,SC,29072-8115,LEXMED INC,Y,Y,388,0,388,476910.43,3763079.741
11032,LIFE CARE CENTER OF HILTON HEAD,120 LAMOTTE DR,HILTON HEAD,SC,29926-2792,843-681-6006,"BOYLES, SHERI P. PH#: 803-865-1999",SHERI_BOYLES@LCCA.COM,SHERI_BOYLES@LCCA.COM,NCF-0725 / 05/31/2026,Beaufort / Corporation,120 LAMOTTE DR,HILTON HEAD ISLAND,SC,29926-2792,LIFE CARE CENTERS OF AMERICA INC,N,N,88,0,88,526887.472,3565477.006
11033,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FLORENCE,2350 W LUCAS ST,FLORENCE,SC,29501-1201,843-665-2222,"SCOTT, MEREDITH PH#: 843-665-2222",MEREDITH.HUGHES@PRESCOMM.ORG,MEREDITH.SCOTT@PRESCOMM.ORG,NCF-0420 / 09/30/2026,Florence / Non-Profit Corporation,2350 W LUCAS ST,FLORENCE,SC,29501-1201,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,N,N,44,0,44,609514.117,3788963.842
11034,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-CLINTON,801 MUSGROVE ST,CLINTON,SC,29325-1796,864-833-5190,"STAMPER, AMANDA L. PH#: 803-497-5799",TAMIEKA.HAWKINS@PRESCOMM.ORG,MANDY.STAMPER@PRESCOMM.ORG,NCF-0366 / 04/30/2026,Laurens / Non-Profit Corporation,801 MUSGROVE ST,CLINTON,SC,29325-1796,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,N,N,18,46,64,419663.418,3816289.152
11035,C M TUCKER JR NURSING CARE CENTER RODDEY PAVILION,2200 HARDEN ST,COLUMBIA,SC,29203-7199,803-737-5303,"LLOYD, ASHLEY PH#: 803-775-5394",ASHLEY.LLOYD@SCDMH.ORG,ASLLOYD@SAVASC.COM,NCF-0726 / 12/31/2025,Richland / State,2200 HARDEN ST,COLUMBIA,SC,29203-7199,SC DEPARTMENT OF MENTAL HEALTH,N,N,308,0,308,497711.906,3764610.636
11036,ROLLING GREEN VILLAGE HEALTH CARE FACILITY,1 HOKE SMITH BLVD,GREENVILLE,SC,29615-5308,864-987-9800,"LORD, ANNA GRACE PH#: 864-987-9800",ANNAGRACED@ROLLINGGREENVILLAGE.COM,,NCF-0456 / 10/31/2026,Greenville / Non-Profit Corporation,1 HOKE SMITH BLVD,GREENVILLE,SC,29615-5308,ROLLING GREEN VILLAGE,N,N,74,,74,384470.269,3856350.576
11037,LAKE MOULTRIE HEALTH AND REHAB,1038 MCGILL LN,SAINT STEPHEN,SC,29479-3196,843-567-2307,"DRIGGERS, JOANN C. PH#: 843-567-2307",JDRIGGERS@SOUTHERNSENIORLIVING.ORG,JDRIGGERS@CLARENDONLTC.ORG,NCF-0738 / 12/31/2026,Berkeley / District,PO BOX 57,MANNING,SC,29102-0057,CLARENDON HOSPITAL DISTRICT,N,N,88,0,88,599258.586,3695838.006
11038,BROAD CREEK CARE CENTER SKILLED NURSING,801 LEMON GRASS CT,HILTON HEAD ISLAND,SC,29928-3022,843-341-7300,"WHITING, JENNIFER PH#: 803-254-5960",JWHITING@VILIVING.COM,JENNIFER.WHITING@PRUITTHEALTH.COM,NCF-0753 / 07/31/2026,Beaufort / Corporation,71 S WACKER DR STE 900,CHICAGO,IL,60606-4610,CC-HILTON HEAD INC,Y,N,25,0,25,521180.978,3559800.324
11039,NHC HEALTHCARE MAULDIN,850 E BUTLER RD,GREENVILLE,SC,29607-5842,864-675-6421,"SELLARS, GIDEON A. PH#: 864-675-6421",GIDEON.SELLARS@NHCCARE.COM,GIDEON.SELLARS@NHCCARE.COM,NCF-0796 / 06/30/2026,Greenville / Ltd. Liability,850 E BUTLER RD,GREENVILLE,SC,29607-5842,NHC HEALTHCARE/MAULDIN LLC,Y,Y,180,0,180,382570.459,3851909.434
11040,NHC HEALTHCARE PARKLANE,7601 PARKLANE RD,COLUMBIA,SC,29223-6122,803-741-9090,"TODD, CHANDLER PH#: 803-741-9090",CHANDLER.TODD@NHCCARE.COM,,NCF-0797 / 06/30/2026,Richland / Ltd. Liability,7601 PARKLANE RD,COLUMBIA,SC,29223-6122,NHC HEALTHCARE/PARKLANE LLC,Y,Y,180,0,180,503816.689,3771223.666
11041,NHC HEALTHCARE LEXINGTON,2993 SUNSET BLVD,WEST COLUMBIA,SC,29169-3421,803-939-0026,"MANLEY, MICHAEL W. PH#: 803-939-0026",MICHAEL.MANLEY@NHCCARE.COM,MICHAEL.MANLEY@NHCCARE.COM,NCF-0798 / 06/30/2026,Lexington / Ltd. Liability,2993 SUNSET BLVD,WEST COLUMBIA,SC,29169-3421,NHC HEALTHCARE/LEXINGTON LLC,N,N,170,0,170,488692.479,3762752.902
11042,FRANKE HEALTH CARE CENTER,1885 RIFLE RANGE RD,MOUNT PLEASANT,SC,29464-9440,843-856-4705,"STOLL, SANDY A. PH#: 843-856-4705",SSTOLL@FRANKEATSEASIDE.ORG,SSTOLL@FRANKEATSEASIDE.ORG,NCF-0800 / 07/31/2026,Charleston / Non-Profit Corporation,1885 RIFLE RANGE RD,MOUNT PLEASANT,SC,29464-9440,LUTHERAN HOMES OF SOUTH CAROLINA INC,N,N,44,0,44,610422.872,3632156.306
11043,NHC HEALTHCARE ANDERSON,1501 E GREENVILLE ST,ANDERSON,SC,29621-2004,864-226-8356,"BIRMINGHAM, WILLIAM TYLER PH#: ",TYLER.BIRMINGHAM@NHCCARE.COM,TYLER.BIRMINGHAM@NHCCARE.COM,NCF-0801 / 06/30/2026,Anderson / Ltd. Liability,1501 E GREENVILLE ST,ANDERSON,SC,29621-2004,NHC HEALTHCARE/ANDERSON LLC,N,N,290,0,290,349754.957,3821966.783
11044,NHC HEALTHCARE GREENWOOD,437 CAMBRIDGE AVE E,GREENWOOD,SC,29646-2244,864-223-1950,"SHEARER, JACOB PH#: ",JACOB.SHEARER@NHCCARE.COM,JACOB.SHEARER@NHCCARE.COM,NCF-0802 / 06/30/2026,Greenwood / Ltd. Liability,437 E CAMBRIDGE AVE,GREENWOOD,SC,29646-2244,NHC HEALTHCARE/GREENWOOD LLC,N,N,152,0,152,393702.767,3784556.037
11045,NHC HEALTHCARE GREENVILLE,1305 BOILING SPRINGS RD,GREER,SC,29650-4139,864-458-7566,"MOORHOUSE, BRYAN M. PH#: 864-458-7566",BRYAN.MOORHOUSE@NHCCARE.COM,BRYAN.MOORHOUSE@NHCCARE.COM,NCF-0807 / 06/30/2026,Greenville / Ltd. Liability,1305 BOILING SPRINGS RD,GREER,SC,29650-4139,NHC HEALTHCARE/GREENVILLE LLC,Y,N,176,0,176,383083.203,3858759.247
11046,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FOOTHILLS,205 BUD NALLEY DR,EASLEY,SC,29642,864-859-3367,"FRYAR, LESLIE PH#: 864-859-3367",LESLIE.ANZALONE@PRESCOMM.ORG,LESLIE.FRYAR@PRESCOMM.ORG,NCF-0809 / 10/31/2026,Pickens / Non-Profit Corporation,205 BUD NALLEY DR,EASLEY,SC,29642,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,N,Y,26,18,44,359009.045,3851687.15
11047,LORIS REHAB AND NURSING CENTER,3620 STEVENS ST,LORIS,SC,29569-2953,843-716-7106,"OATES, BROCK PH#: 843-716-7106",CPOWELL@WILSONSENIORCARE.COM,BOATES@WILSONSENIORCARE.COM,NCF-0207 / 08/31/2026,Horry / Limited Liability,116 CASHUA ST,DARLINGTON,SC,29532-3202,LORIS REHAB AND NURSING CENTER LLC,N,N,88,0,88,694175.014,3770370.631
11048,ROSECREST REHABILITATION AND HEALTHCARE,200 FORTRESS DR,INMAN,SC,29349-9160,864-599-8600,"YETTER, MELISSA PH#: 864-599-8600",RMCCURRY@ROSECREST.ORG,MYETTER@LHOMES.ORG,NCF-0817 / 04/30/2026,Spartanburg / Non-Profit Corporation,200 FORTRESS DR,INMAN,SC,29349-9160,LUTHERAN HOMES OF SOUTH CAROLINA INC,N,N,75,0,75,406283.395,3877777.304
